Name,Anime,Favourites
Satoru Gojou,"Jujutsu Kaisen, Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou, Jujutsu Kaisen, Jujutsu Kaisen: Yoake no Ibara Michi, Jujutsu Kaisen: Iku Natsu to Kaeru Aki, Jujutsu Kaisen 0, Jujutsu Kaisen Bangai-hen, Jujutsu Kaisen 0.5: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou, Jujutsu Kaisen PV, Jujutsu Kaisen 2nd Season",33565
Luffy Monkey,"ONE PIECE, ONE PIECE 3D: Mugiwara Chase, ONE PIECE FILM: Z, ONE PIECE TV Special: Umi no Heso no Daibouken-hen, ONE PIECE: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!, ONE PIECE TV Special 3: Mamore! Saigo no Oobutai, ONE PIECE: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou, ONE PIECE: Chinjuu-jima no Chopper Oukoku, ONE PIECE THE MOVIE: Dead End no Bouken, ONE PIECE: Yume no Soccer Ou!, ONE PIECE: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi, ONE PIECE THE MOVIE: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura, ONE PIECE: Episode of Luffy - Hand Island no Bouken, ONE PIECE: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna, ONE PIECE: Nejimaki-jima no Bouken - Jango no Dance Carnival, ONE PIECE THE MOVIE: Karakuri-jou no Mecha Kyohei, ONE PIECE: Nejimaki-jima no Bouken, ONE PIECE: Norowareta Seiken, ONE PIECE THE MOVIE: Omatsuri Danshaku to Himitsu no Shima, ONE PIECE: ROMANCE DAWN STORY, ONE PIECE FILM: STRONG WORLD, ONE PIECE FILM: STRONG WORLD - EPISODE:0, ONE PIECE: Taose! Kaizoku Ganzack, ONE PIECE ""3D2Y"": Ace no shi wo Koete! Luffy Nakama to no Chikai, ONE PIECE",31846
Levi,"Shingeki no Kyojin, Shingeki no Kyojin OVA, Shingeki no Kyojin Zenpen: Guren no Yumiya, Shingeki no Kyojin Kouhen: Jiyuu no Tsubasa, Shingeki no Kyojin Gaiden: Kuinaki Sentaku, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin, Shingeki no Kyojin Gaiden: Kuinaki Sentaku, Shingeki no Kyojin Gaiden: Kuinaki Sentaku - Prologue, Shingeki no Kyojin 2, Shingeki no Kyojin 3, Shingeki no Kyojin Season 2: Kakusei no Houkou, Shingeki no Kyojin 3 Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Tondeke! Kunren Heidan, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han, Shingeki no Kyojin: The Final Season, Shingeki no Kyotou, Shingeki no Kyojin: Chronicle, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han Part 2, Shingeki no Kyojin: The Final Season Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Final, Shingeki! Kyojin Chuugakkou: Seishun! Tonari no Marley Gakuen, Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen, Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen",31089
Killua Zoldyck,"HUNTER×HUNTER, HUNTER×HUNTER OVA, HUNTER×HUNTER: Greed Island, HUNTER×HUNTER: Greed Island Final, HUNTER×HUNTER (2011), HUNTER×HUNTER: Phantom Rouge, HUNTER×HUNTER, HUNTER×HUNTER: THE LAST MISSION",29155
Eren Yeager,"Shingeki no Kyojin, Shingeki no Kyojin OVA, Shingeki no Kyojin Zenpen: Guren no Yumiya, Shingeki no Kyojin Kouhen: Jiyuu no Tsubasa, Shingeki no Kyojin 2, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin 3, Shingeki no Kyojin Season 2: Kakusei no Houkou, Shingeki no Kyojin: LOST GIRLS, Shingeki no Kyojin 3 Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Tondeke! Kunren Heidan, Shingeki no Kyojin: LOST GIRLS, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han, Shingeki no Kyojin: The Final Season, Shingeki no Kyotou, Shingeki no Kyojin: Chronicle, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han Part 2, Sungeki no Kyojin, Shingeki no Kyojin: The Final Season Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Final, Chiyuki no Fashion Check, Shingeki! Kyojin Chuugakkou: Seishun! Tonari no Marley Gakuen, Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen",26352
Zoro Roronoa,"ONE PIECE, ONE PIECE 3D: Mugiwara Chase, ONE PIECE FILM: Z, ONE PIECE TV Special: Umi no Heso no Daibouken-hen, ONE PIECE: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!, ONE PIECE TV Special 3: Mamore! Saigo no Oobutai, ONE PIECE: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou, ONE PIECE: Chinjuu-jima no Chopper Oukoku, ONE PIECE THE MOVIE: Dead End no Bouken, ONE PIECE: Yume no Soccer Ou!, ONE PIECE: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi, ONE PIECE THE MOVIE: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura, ONE PIECE: Episode of Luffy - Hand Island no Bouken, ONE PIECE: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna, ONE PIECE: Nejimaki-jima no Bouken - Jango no Dance Carnival, ONE PIECE THE MOVIE: Karakuri-jou no Mecha Kyohei, ONE PIECE: Nejimaki-jima no Bouken, ONE PIECE: Norowareta Seiken, ONE PIECE THE MOVIE: Omatsuri Danshaku to Himitsu no Shima, ONE PIECE: ROMANCE DAWN STORY, ONE PIECE FILM: STRONG WORLD, ONE PIECE: Taose! Kaizoku Ganzack, ONE PIECE, CROSS EPOCH, ONE PIECE Log Book Omake",25660
Emilia,"Re:Zero kara Hajimeru Isekai Seikatsu, Re:Petit kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen, Re:Zero kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Isekai Seikatsu OVAs, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero, Isekai Quartet, Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time), Isekai Quartet 2, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo, Re:Zero kara Hajimeru Isekai Seikatsu: Hyouketsu no Kizuna, Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season Part 2, Isekai Quartet: Another World, Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-5 Shou - Mizu no Machi to Eiyuu no Uta, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 3rd Season, Re:Zero kara Hajimeru Isekai Seikatsu Tanpenshuu, Re:Zero kara Hajimeru Isekai Seikatsu 4th Season",25523
Lelouch Lamperouge,"Code Geass: Hangyaku no Lelouch, Code Geass: Hangyaku no Lelouch Picture Drama, Code Geass: Hangyaku no Lelouch R2, Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama, Code Geass: Hangyaku no Lelouch R2 Picture Drama, Code Geass: Nunnally in Wonderland, Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu, Code Geass: Hangyaku no Lelouch, Code Geass: Hankou no Suzaku, Code Geass: Nightmare of Nunnally, Bakumatsu Ibunroku - Code Geass: Hangyaku no Lelouch, Chibi Geass: 4-koma no Lelouch, Code Geass: Hangyaku no Lelouch, Code Geass: Hangyaku no Lelouch Koushiki Comic Anthology: Knight - for Girls, Barcode Geass: Hanbai no Lelouch, Code Geass: Boukoku no Akito 3 - Kagayakumono Ten Yori Otsu, Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara, Code Geass: Boukoku no Akito Saishuushou - Itoshiki Mono-tachi e, Code Geass: Hangyaku no Lelouch I - Koudou, Code Geass: Hangyaku no Lelouch II - Handou, Code Geass: Hangyaku no Lelouch III - Oudou, Tartaros Gekijou, Code Geass: Hangyaku no Lelouch Re;, Code Geass: Fukkatsu no Lelouch, Code Geass: Hangyaku no Lelouch Picture Drama STAGE 0.97 - Hajimari no Zenya",23202
Guts,"Kenpuu Denki Berserk, Berserk: Ougon Jidai-hen I - Haou no Tamago, Berserk: Ougon Jidai-hen II - Doldrey Kouryaku, Berserk: Ougon Jidai-hen III - Kourin, Berserk, BERSERK THE PROTOTYPE, Berserk 2, Berserk, Berserk: Ougon Jidai-hen - MEMORIAL EDITION",21256
Ken Kaneki,"Tokyo Ghoul, Tokyo Ghoul √A, Tokyo Ghoul, Tokyo Ghoul, Tokyo Ghoul:re, Tokyo Ghoul:re, Tokyo Ghoul:re 2, Tokyo Ghoul: Sekijitsu, Tokyo Ghoul: Kuuhaku, Tokyo Ghoul: Hibi, Tokyo Ghoul:re: quest",20945
Mikasa Ackerman,"Shingeki no Kyojin, Shingeki no Kyojin OVA, Shingeki no Kyojin Zenpen: Guren no Yumiya, Shingeki no Kyojin Kouhen: Jiyuu no Tsubasa, Shingeki no Kyojin 2, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin, Shingeki! Kyojin Chuugakkou, Shingeki no Kyojin 3, Shingeki no Kyojin Season 2: Kakusei no Houkou, Shingeki no Kyojin: LOST GIRLS, Shingeki no Kyojin 3 Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Tondeke! Kunren Heidan, Shingeki no Kyojin: LOST GIRLS, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han, Shingeki no Kyojin: The Final Season, Shingeki no Kyotou, Shingeki no Kyojin: Chronicle, Shingeki no Kyojin: LOST GIRLS, Shingeki no Kyojin: Chimi Kyara Gekijou - Rivai-han Part 2, Sungeki no Kyojin, Shingeki no Kyojin: The Final Season Part 2, Shingeki no Kyojin: Chimi Kyara Gekijou - Final, Shingeki! Kyojin Chuugakkou: Seishun! Tonari no Marley Gakuen, Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen",20580
Arataka Reigen,"Mob Psycho 100, Mob Psycho 100, Mob Psycho 100 REIGEN: Shirarezaru Kiseki Reinouryokusha, REIGEN: Reikyuuchi MAX 131 no Otoko, Mob Psycho 100 II, Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi, Mob Psycho mini, Sekai Oni×Mob Psycho 100 , Mob Psycho 100 III, Mob Psycho 100×Hito Kui, Mob Psycho Koushiki Anthology",20457
L Lawliet,"DEATH NOTE, DEATH NOTE Rewrite, DEATH NOTE, DEATH NOTE Another Note: Los Angeles BB Renzoku Satsujin Jiken, DEATH NOTE ni Rakugaki 4-koma, L FILE No. 15",20422
Makima,"Chainsaw Man, Chainsaw Man, Chainsaw Man: Buddy Stories, Chainsaw Man: Reze-hen",19905
Kurisu Makise,"Steins;Gate, Steins;Gate: Oukoubakko no Poriomania, Steins;Gate: Fuka Ryouiki no Déjà vu, Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero, Steins;Gate: Soumei Eichi no Cognitive Computing, Steins;Gate, Steins;Gate: Boukan no Rebellion, Steins;Gate: Hiyoku Renri no Sweets Honey, Steins;Gate: Shijou Saikyou no Slight Fever, Steins;Gate Chouyoku no Divergence: Reverse, Steins;Gate: Aishin Meizu no Babel, Steins;Gate: Heiji Kyokusen no Epigraph, Steins;Gate: Heni Kuukan no Octet, Steins;Gate: Eigou Kaiki no Pandora, Steins;Gate: Hiyoku Renri no Future Honey, Steins;Gate 0, Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Day, Chaos;Child: Children's Collapse, Steins Gate!, STEINS;GATE DROPS, Steins;Gate: Senkei Kousoku no Mosaicism, STEINS;GATE: Enkan Rensa no Uroborosu, Mahou Shoujo Sonico★Magica, Steins;Gate 0, Steins;Gate: Motto Hiyoku Renri no Sweets Honey",19070
Thorfinn Karlsefni,"Vinland Saga, VINLAND SAGA, Assassin's Creed: Valhalla x Vinland Saga, VINLAND SAGA SEASON 2, VINLAND SAGA SEASON 2: Drowning in the Shadow, Animalland Saga, Animalland Saga season 2",18539
Kaguya Shinomiya,"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Doujin-ban, Kaguya-sama wo Kataritai, Kaguya-sama wa Kokurasetai Shousetsu-ban: Shuuchiin Gakuen Nanafushigi, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic, Kaguya-sama wa Kokurasetai Darkness, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, [Oshi no Ko]: Tokubetsu-hen, Kaguya-sama wa Kokurasetai: Ultra Romantic 3rd Season Teaser PV - Ishigami Yuu wa Kataritai, Girls und Panzer: Ribbon no Musha, Kaguya-sama wa Kokurasetai Shousetsu-ban: Tensaitachi no Renai Jinrou-sen",18508
Mai Sakurajima,"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai, Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai, Seishun Buta Yarou wa Logical Witch no Yume wo Minai, Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai, Seishun Buta Yarou wa Logical Witch no Yume wo Minai, Seishun Buta Yarou wa Siscon Idol no Yume wo Minai, Seishun Buta Yarou wa Orusuban Imouto no Yume wo Minai, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai, Seishun Buta Yarou wa Hatsukoi Shoujo no Yume wo Minai, Seishun Buta Yarou wa Odekake Sister no Yume wo Minai, Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai, Seishun Buta Yarou wa Mayoeru Singer no Yume wo Minai, Seishun Buta Yarou wa Nightingale no Yume wo Minai, Seishun Buta Yarou wa Odekake Sister no Yume wo Minai, Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai, Seishun Buta Yarou wa Santa Claus no Yume wo Minai, Seishun Buta Yarou wa Santa Claus no Yume wo Minai, Seishun Buta Yarou wa Girlfriend no Yume wo Minai, Seishun Buta Yarou wa Dear Friend no Yume wo Minai, Seishun Buta Yarou wa Orusuban Imouto no Yume wo Minai, Seishun Buta Yarou wa My Student no Yume wo Minai, Seishun Buta Yarou wa Beach Queen no Yume wo Minai+",18191
Rintarou Okabe,"Steins;Gate, Steins;Gate: Fuka Ryouiki no Déjà vu, Steins;Gate: Oukoubakko no Poriomania, Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero, Steins;Gate: Soumei Eichi no Cognitive Computing, Steins;Gate, Steins;Gate: Boukan no Rebellion, Steins;Gate: Hiyoku Renri no Sweets Honey, Steins;Gate: Shijou Saikyou no Slight Fever, Steins;Gate Onshuu no Brownian Motion, Steins;Gate Chouyoku no Divergence: Reverse, Steins;Gate: Aishin Meizu no Babel, Steins;Gate: Heiji Kyokusen no Epigraph, Steins;Gate: Heni Kuukan no Octet, Steins;Gate: Eigou Kaiki no Pandora, Steins;Gate: Hiyoku Renri no Future Honey, Steins;Gate 0, Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Day, Steins;Gate: Mugen Enten no Arc Light, Steins Gate!, STEINS;GATE DROPS, Steins;Gate: Senkei Kousoku no Mosaicism, STEINS;GATE: Enkan Rensa no Uroborosu, Steins;Gate 0, Chaos;Child: Children's Collapse",18004
Itachi Uchiha,"NARUTO, NARUTO: Shippuuden, Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival, NARUTO: Shippuuden - Shippu! ""Konoha Gakuen"" Den, ROAD TO NINJA: NARUTO THE MOVIE, NARUTO, Rock Lee no Seishun Full-Power Ninden, NARUTO: Shippuuden - Sunny Side Battle!!!, Uchiha Sasuke no Sharingan Den, NARUTO Shinden Series (2015), ROAD TO NINJA: NARUTO THE MOVIE, NARUTO SD Rock Lee no Seishun Full-Power Ninden, NARUTO Hiden Series, ROAD OF NARUTO, BORUTO: NARUTO NEXT GENERATIONS",17894
Power,"Chainsaw Man, Chainsaw Man, Chainsaw Man: Buddy Stories, Chainsaw Man: Reze-hen",17774
Yuuji Itadori,"Jujutsu Kaisen, Jujutsu Kaisen, Jujutsu Kaisen: Yoake no Ibara Michi, Jujutsu Kaisen: Iku Natsu to Kaeru Aki, Jujutsu Kaisen 2nd Season, Jujutsu Kaisen: Shimetsu Kaiyuu",17693
Shigeo Kageyama,"Mob Psycho 100, Mob Psycho 100, Mob Psycho 100 REIGEN: Shirarezaru Kiseki Reinouryokusha, Mob Psycho 100 II, Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi, Mob Psycho mini, REIGEN: Reikyuuchi MAX 131 no Otoko, Sekai Oni×Mob Psycho 100 , Mob Psycho 100 III, Mob Psycho 100×Hito Kui, Mob Psycho Koushiki Anthology",17380
Violet Evergarden,"Violet Evergarden, Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou, Violet Evergarden Gaiden, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou, Violet Evergarden Movie, Violet Evergarden, Violet Evergarden Ever After, Violet Evergarden CM",17324
