Name,Anime,Favourites
Sakura Matou,"Carnival Phantasm, Carnival Phantasm: HibiChika Special, Fate/stay night, Fate/stay night Movie: UNLIMITED BLADE WORKS, Fate/Zero, Fate/Zero 2nd Season, Fate/stay night: Unlimited Blade Works, Fate/stay night [Heaven's Feel] I. presage flower, Fate/stay night: Unlimited Blade Works 2nd Season, Fate/stay night, Fate/Zero, Fate/Zero, ALL AROUND TYPE-MOON, Fate/kaleid liner Prisma☆Illya 2wei!, Emiya-san Chi no Kyou no Gohan, Fate/kaleid liner Prisma☆Illya: Sekka no Chikai, Fate/stay night: Unlimited Blade Works 2nd Season - sunny day, Fate/stay night [Heaven's Feel] II. lost butterfly, Fate/EXTRA Last Encore, Fate/stay night [Heaven's Feel] III. spring song, Fate/kaleid liner Prisma☆Illya: Sekka no Chikai - Kuro Sakura no Heya, Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm, Fate/hollow ataraxia, Fate/kaleid liner Prisma☆Illya 3rei!!, Fate/Stay Night: Comic Battle",17276
Kakashi Hatake,"NARUTO, NARUTO: Soyokazeden - Naruto to Mashin to Mitsu no Onegai Dattebayo!!, NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin VS Genin!! Musabetsu Dairansen Taikai Kaisai!!, NARUTO: Akaki Yotsuba no Clover wo Sagase, NARUTO: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!, NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!, NARUTO: Shippuuden - Shippu! ""Konoha Gakuen"" Den, NARUTO: Shippuuden Movie, NARUTO: Shippuuden - Kizuna, NARUTO: Shippuuden - Hi no Ishi wo Tsugu Mono, NARUTO: Blood Prison, ROAD TO NINJA: NARUTO THE MOVIE, NARUTO: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!, NARUTO: THE CROSS ROADS, NARUTO SD Rock Lee no Seishun Full-Power Ninden, NARUTO: Shippuuden, NARUTO: Shippuuden - The Lost Tower, NARUTO, Rock Lee no Seishun Full-Power Ninden, NARUTO: Road to Ninja, BORUTO: NARUTO NEXT GENERATIONS, THE LAST: NARUTO THE MOVIE, NARUTO Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki, Uchiha Sasuke no Sharingan Den, NARUTO: Dai Katsugeki! Yuki Hime Ninpouchou Dattebayo!!",17200
Kurapika,"HUNTER×HUNTER: Phantom Rouge, HUNTER×HUNTER Pilot-ban, HUNTER×HUNTER, HUNTER×HUNTER OVA, HUNTER×HUNTER: Greed Island, HUNTER×HUNTER: Greed Island Final, HUNTER×HUNTER (2011), HUNTER×HUNTER, HUNTER×HUNTER: Kurapika Tsuioku-hen, HUNTER×HUNTER: THE LAST MISSION",16941
Denji,"Chainsaw Man, Chainsaw Man: Buddy Stories, Chainsaw Man, Chainsaw Man: Reze-hen",16576
Light Yagami,"DEATH NOTE, DEATH NOTE Rewrite, DEATH NOTE, Death Parade, DEATH NOTE ni Rakugaki 4-koma",16339
Edward Elric,"Hagane no Renkinjutsushi, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST - Arakawa Hiromu Kaki Oroshi 4-koma Gekijou, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode, Hagane no Renkinjutsushi: Milos no Seinaru Hoshi, Hagane no Renkinjutsushi: PREMIUM COLLECTION, Hagane no Renkinjutsushi: Shamballa wo Yuku Mono, Hagane no Renkinjutsushi: Reflections, Hagane no Renkinjutsushi, Hagane no Renkinjutsushi, Hagane no Renkinjutsushi: Prototype, Hagane no Renkinjutsushi 0, Hagane no Renkinjutsushi: Milos no Seinaru Hoshi Tokubetsu Eizou, Hagane no Renkinjutsushi 11.5: Tabidachi no Mae ni, Hagane no Renkinjutsushi: 20th ANNIVERSARY BOOK",16039
Frieren,"Sousou no Frieren, Sousou no Frieren, Yuusha, Sousou no Frieren: ●● no Mahou, Sousou no Frieren Anthology, Sousetsu Sousou no Frieren ~Zensou～, Sousou no Frieren 2nd Season, Sousou no Frieren: ●● no Mahou 2",15838
Ichigo,"Darling in the Franxx, Darling in the Franxx, Darling in the FranXX!",15442
Tanjirou Kamado,"Kimetsu no Yaiba, Kimetsu no Aima!, Kimetsu no Yaiba, Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Shiawase no Hana, Kimetsu no Yaiba: Katahane no Chou, Kimetsu no Yaiba: Kaze no Michishirube, Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden, Kimetsu no Yaiba: Gaiden, Kimetsu no Yaiba: Mugen Ressha-hen (TV), Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen, Kimetsu no Yaiba: Rengoku Volume 0, Kimetsu Gakuen!, Kimetsu no Yaiba: Yuukaku-hen, Kimetsu no Yaiba: Katanakaji no Sato-hen, Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Kimetsu no Utage Tokubetsu-hen, Kimetsu no Yaiba: Hashira Geiko-hen, Kimetsu no Yaiba: Mugenjou-hen, Kimetsu no Yaiba x MLB Tokyo Series presented by Guggenheim",15364
Naruto Uzumaki,"NARUTO, NARUTO: Soyokazeden - Naruto to Mashin to Mitsu no Onegai Dattebayo!!, Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival, NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin VS Genin!! Musabetsu Dairansen Taikai Kaisai!!, NARUTO: Akaki Yotsuba no Clover wo Sagase, NARUTO: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!, NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!, NARUTO: Shippuuden, NARUTO: Shippuuden - Shippu! ""Konoha Gakuen"" Den, NARUTO: Shippuuden Movie, NARUTO: Shippuuden - Kizuna, NARUTO: Shippuuden - Hi no Ishi wo Tsugu Mono, NARUTO: Shippuuden - The Lost Tower, NARUTO: Blood Prison, ROAD TO NINJA: NARUTO THE MOVIE, THE LAST: NARUTO THE MOVIE, NARUTO: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!, NARUTO: THE CROSS ROADS, NARUTO SD Rock Lee no Seishun Full-Power Ninden, NARUTO, NARUTO: Shiro no Douji, Keppu no Kijin, NARUTO, Jump Super Stars, Rock Lee no Seishun Full-Power Ninden, NARUTO: Road to Ninja",15189
Itsuki Nakano,"Go-toubun no Hanayome, Go-toubun no Hanayome, Go-toubun no Hanayome ∬, Go-toubun no Hanayome, Go-toubun no Hanayome Movie, Chiyuki no Fashion Check, Go-toubun no Hanayome: 122 + 1 - Itsutsugo-chan wa Himitsu wo Gotoubun Dekinai, Go-toubun no Hanayome∽, Go-toubun no Hanayome *, Go-toubun no Hanayome: Shunkashuutou",15134
Chika Fujiwara,"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Doujin-ban, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wo Kataritai, Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic, Kaguya-sama wa Kokurasetai Shousetsu-ban: Shuuchiin Gakuen Nanafushigi, Kaguya-sama wa Kokurasetai Darkness, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Kaguya-sama wa Kokurasetai: Ultra Romantic 3rd Season Teaser PV - Ishigami Yuu wa Kataritai, Kaguya-sama wa Kokurasetai Shousetsu-ban: Tensaitachi no Renai Jinrou-sen",15045
Megumin,"Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Bakuen wo!, Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! 2, Kono Subarashii Sekai ni Shukufuku wo!, Zoku Kono Subarashii Sekai ni Bakuen wo!, Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Zoku Kono Subarashii Sekai ni Bakuen wo! Warera, Megumin Touzokudan, Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!, Kono Subarashii Sekai ni Nichijou wo!, Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu, Kono Subarashii Sekai ni Shukufuku wo! Megumin Anthology Aka, Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!, Isekai Quartet, Isekai Quartet 2, Kono Subarashii Sekai ni Shukufuku wo! Yorimichi!, Kono Subarashii Sekai ni Shukufuku wo! Megumin Anthology, Isekai Quartet: Another World, Kono Subarashii Sekai ni Shukufuku wo! 3, Girls und Panzer: Ribbon no Musha, Kono Subarashii Sekai ni Shukufuku wo! Fantastic Days, Kono Subarashii Sekai ni Shukufuku wo! Fantastic Days, Kono Subarashii Sekai ni Bakuen wo!, Kono Subarashii Sekai ni Shukufuku wo! Extra: Ano Orokamono ni mo Kyakkou wo! Subarashiki kana, Mei Wakiyaku, Kono Subarashii Sekai ni Shukufuku wo! 3: BONUS STAGE",14993
Maomao,"Kusuriya no Hitorigoto, Kusuriya no Hitorigoto, Kusuriya no Hitorigoto: Maomao no Koukyuu Nazotoki Techou, Kusuriya no Hitorigoto, Maomao no Hitorigoto, Kusuriya no Hitorigoto 2nd Season, Maomao no Hitorigoto 2nd Season",14898
Miko Iino,"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Doujin-ban, Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai Shousetsu-ban: Shuuchiin Gakuen Nanafushigi, Kaguya-sama wa Kokurasetai: Ultra Romantic, Kaguya-sama wa Kokurasetai Darkness, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Kaguya-sama wa Kokurasetai: Ultra Romantic 3rd Season Teaser PV - Ishigami Yuu wa Kataritai, Kaguya-sama wa Kokurasetai Shousetsu-ban: Tensaitachi no Renai Jinrou-sen",14893
Joseph Joestar,"JoJo no Kimyou na Bouken (TV), JoJo no Kimyou na Bouken, JoJo no Kimyou na Bouken: Stardust Crusaders, JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen, JoJo no Kimyou na Bouken: Stardust Crusaders, JoJo no Kimyou na Bouken: Sentou Chouryuu, JoJo no Kimyou na Bouken: Diamond wa Kudakenai, JoJo no Kimyou na Bouken: Diamond wa Kudakenai, JoJo no Kimyou na Bouken (2000), JoJo's Bizarre Adventure Over Heaven, Oingo to Boingo Kyoudai Daibouken, JoJo no Kimyou na Bouken, JoJo no Kimyou na Bouken: Ougon no Kaze, JoJo no Kimyou na Bouken: Crazy Diamond no Akuryouteki Shitsuren, Crazy D no Akuryouteki Shitsuren: JoJo no Kimyou na Bouken Yori, JoJo no Kimyou na Bouken - Mugen no Ou, Norainu Iggy",14672
Gintoki Sakata,"Gintama, Gintama: Jump Festa 2005 Special, Gintama', Gintama': Enchousen, Gintama: Dai Hanseikai, Gintama: Jump Festa 2008 Special, Gintama: Shinyaku Benizakura-hen, Gintama: Shinyaku Benizakura-hen Special, Gintama: Kanketsu-hen - Yorozuya yo Eien Nare, Gintama°, Gintama, SKET DANCE, 3-nen Z-gumi Ginpachi-sensei, Gintama., Gintama.: Porori-hen, Gintama.: Shirogane no Tamashii-hen - Kouhan-sen, Gintama.: Shirogane no Tamashii-hen, Gintama: Yorinuki Gintama-san on Theater 2D, Gintamaº: Aizome Kaori-hen, Gintama: Monster Strike-hen, Saiki Kusuo no Ψ-nan 2, Gintama: THE FINAL, SKET DANCE, Gintama: THE SEMI-FINAL, Gintama: Jump Festa 2015 Special",14372
Megumi Fushiguro,"Jujutsu Kaisen, Jujutsu Kaisen, Jujutsu Kaisen: Yoake no Ibara Michi, Jujutsu Kaisen: Iku Natsu to Kaeru Aki, Jujutsu Kaisen 2nd Season, Jujutsu Kaisen: Shimetsu Kaiyuu",14312
Kiyotaka Ayanokouji,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: √Horikita, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: Other School Days, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 3-nensei-hen",14293
Osamu Dazai,"Bungou Stray Dogs, Bungou Stray Dogs 2nd Season, Bungou Stray Dogs, Bungou Stray Dogs: DEAD APPLE, Bungou Stray Dogs 3rd Season, Bungou Stray Dogs: Dead Apple, Bungou Stray Dogs: Hitori Ayumu, Bungou Stray Dogs BEAST, Bungou Stray Dogs: Dazai Osamu no Nyuusha Shiken, Bungou Stray Dogs: Dazai Osamu to Kuro no Jidai, Bungou Stray Dogs: Tanteisha Setsuritsu Hiwa, Bungou Stray Dogs: 55 Minutes , Bungou Stray Dogs BEAST, Bungou Stray Dogs: Dazai, Chuuya, Juugosai, Bungou Stray Dogs Wan!, Bungou Stray Dogs: STORM BRINGER, Bungou Stray Dogs Koushiki Anthology: Rin, Bungou Stray Dogs Wan!, Bungou Stray Dogs Koushiki Anthology: Akatsuki, Bungou Stray Dogs 4th Season, Bungou Stray Dogs: Dazai, Chuuya, Juugosai, Bungou Stray Dogs Koushiki Anthology: Kanade, Bungou Stray Dogs 5th Season, Bungo Stray Dogs: Dazai wo Hirotta Hi, Bungou Stray Dogs: STORM BRINGER",14279
Askeladd,"Vinland Saga, VINLAND SAGA, Assassin's Creed: Valhalla x Vinland Saga, VINLAND SAGA SEASON 2, Animalland Saga, Animalland Saga season 2",14278
Shouto Todoroki,"Boku no Hero Academia, Boku no Hero Academia, Boku no Hero Academia THE MOVIE: Futari no Hero, Boku no Hero Academia: Sukue! Kyuujo Kunren!, Boku no Hero Academia 2, Boku no Hero Academia 3, Boku no Hero Academia 4, Boku no Hero Academia THE MOVIE: Heroes:Rising, Boku no Hero Academia THE MOVIE: Futari no Hero Specials, Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren, Boku no Hero Academia THE MOVIE: World Heroes' Mission, Boku no Hero Academia 5, Boku no Hero Academia: Training of the Dead, Boku no Hero Academia: Endeavor's Mission, Boku no Hero Academia 6, Hawks: SOOTHE, Boku no Hero Academia: Yuuei Hakusho, Boku no Hero Academia THE MOVIE: Futari no Hero, Boku no Hero Academia THE MOVIE: Heroes:Rising, Boku no Hero Academia THE MOVIE: World Heroes' Mission, Boku no Hero Academia THE MOVIE: World Heroes' Mission - Tabidachi, Boku no Hero Academia 5 (ONA), Boku no Hero Academia: Yuuei Heroes Battle, Boku no Hero Academia 7, Boku no Hero Academia THE MOVIE: YOU'RE NEXT",14100
Jin-U Seong,"Na Honjaman Level Up, Ore dake Level Up na Ken, Ore dake Level Up na Ken: Season 2 - Arise from the Shadow, Na Honjaman Level Up: Ragnarok, Ore dake Level Up na Ken: ReAwakening",14044
Rem,"Re:Zero kara Hajimeru Isekai Seikatsu, Re:Petit kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen, Re:Zero kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Isekai Seikatsu OVAs, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero, Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season, Isekai Quartet, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time), Isekai Quartet 2, Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season, Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2, Isekai Quartet: Another World, Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season, Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 3rd Season, Re:Zero kara Hajimeru Isekai Seikatsu Tanpenshuu, Re:Zero kara Hajimeru Isekai Seikatsu 4th Season",13885
Senkuu Ishigami,"Dr. STONE, Dr. STONE, Dr. STONE: Hoshi no Yume, Chi no Uta, Dr. STONE: STONE WARS, Dr. STONE: Koe wa Mirai e Mukete, Dr. STONE: NEW WORLD, Dr. STONE: Ryuusui, Dr. STONE: TERRAFORMING, Dr. STONE: NEW WORLD Part 2, Dr. STONE 4D SCIENCE, Dr. STONE: SCIENCE FUTURE, Dr.STONE SCIENCE FUTURE Part 2",13558
Yuu Ishigami,"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Doujin-ban, Kaguya-sama wo Kataritai, Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen, Kaguya-sama wa Kokurasetai Shousetsu-ban: Shuuchiin Gakuen Nanafushigi, Kaguya-sama wa Kokurasetai: Ultra Romantic, Kaguya-sama wa Kokurasetai Darkness, Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Kaguya-sama wa Kokurasetai: Ultra Romantic 3rd Season Teaser PV - Ishigami Yuu wa Kataritai, Kaguya-sama wa Kokurasetai Shousetsu-ban: Tensaitachi no Renai Jinrou-sen",13521
